Year,Jurisdiction,Month,Area (hectares),Number
2015,Alberta,October,79.06,62
2015,Alberta,November,7.09,23
2015,Alberta,December,1.01,8
2015,Alberta,February,0.2,4
2015,Alberta,March,13.47,32
2015,Alberta,April,627.18,272
2015,Alberta,May,48023.19,493
2015,Alberta,June,397383.82,459
2015,Alberta,July,20066.22,300
2015,Alberta,August,65.03,149
2015,Alberta,September,49.76,52
2016,Alberta,January,0.37,7
2016,Alberta,October,0.5,13
2016,Alberta,November,0.69,12
2016,Alberta,December,11.82,4
2016,Alberta,February,5.73,12
2016,Alberta,March,22.02,61
2016,Alberta,April,2566.82,282
2016,Alberta,May,498401.82,247
2016,Alberta,June,4764.32,391
2016,Alberta,July,1056.33,204
2016,Alberta,August,168.49,122
2016,Alberta,September,58.13,81
2017,Alberta,January,0.71,3
2017,Alberta,October,1701.19,49
2017,Alberta,November,0.33,5
2017,Alberta,December,9.16,3
2017,Alberta,February,89.82,3
2017,Alberta,March,14.66,14
2017,Alberta,April,592.97,97
2017,Alberta,May,1287.29,329
2017,Alberta,June,921.71,164
2017,Alberta,July,1156.52,257
2017,Alberta,August,27774.87,247
2017,Alberta,September,15684.08,73
2018,Alberta,January,0.11,2
2018,Alberta,October,232.0,51
2018,Alberta,November,4.34,6
2018,Alberta,December,397.79,3
2018,Alberta,March,2.1,18
2018,Alberta,April,117.07,95
2018,Alberta,May,30217.75,438
2018,Alberta,June,12959.45,320
2018,Alberta,July,7286.24,147
2018,Alberta,August,8925.36,160
2018,Alberta,September,43.01,59
2019,Alberta,January,2.19,14
2019,Alberta,October,8.79,16
2019,Alberta,November,0.01,1
2019,Alberta,December,0.1,1
2019,Alberta,February,0.01,1
2019,Alberta,March,14.01,34
2019,Alberta,April,612.58,182
2019,Alberta,May,815383.27,306
2019,Alberta,June,2926.29,172
2019,Alberta,July,66961.69,192
2019,Alberta,August,3.13,73
2019,Alberta,September,31.17,29
1990,British Columbia,October,122.7,60
1990,British Columbia,November,0.8,6
1990,British Columbia,February,0.7,3
1990,British Columbia,March,123.0,35
1990,British Columbia,April,435.1,147
1990,British Columbia,May,3443.9,235
1990,British Columbia,June,79.9,95
1990,British Columbia,July,25045.7,775
1990,British Columbia,August,11674.3,1563
1990,British Columbia,September,34855.7,336
1991,British Columbia,January,0.2,2
1991,British Columbia,October,2278.3,248
1991,British Columbia,November,0.5,5
1991,British Columbia,February,1076.7,5
1991,British Columbia,March,161.9,25
1991,British Columbia,April,2603.1,204
1991,British Columbia,May,3840.3,193
1991,British Columbia,June,3411.8,291
1991,British Columbia,July,192.4,296
1991,British Columbia,August,9646.1,572
1991,British Columbia,September,1497.5,172
1992,British Columbia,January,7.0,6
1992,British Columbia,October,116.8,126
1992,British Columbia,November,0.4,4
1992,British Columbia,December,0.0,1
1992,British Columbia,February,2.1,2
1992,British Columbia,March,175.3,70
1992,British Columbia,April,1206.5,155
1992,British Columbia,May,6740.3,243
1992,British Columbia,June,5844.3,705
1992,British Columbia,July,11631.1,493
1992,British Columbia,August,4350.9,1803
1992,British Columbia,September,378.1,197
1993,British Columbia,January,20.5,3
1993,British Columbia,October,370.6,119
1993,British Columbia,November,16.7,10
1993,British Columbia,February,243.1,16
1993,British Columbia,March,146.2,34
1993,British Columbia,April,186.8,77
1993,British Columbia,May,910.9,322
1993,British Columbia,June,1108.1,189
1993,British Columbia,July,233.4,153
1993,British Columbia,August,632.0,274
1993,British Columbia,September,1315.1,300
1994,British Columbia,January,2.9,6
1994,British Columbia,October,84.6,70
1994,British Columbia,November,0.1,1
1994,British Columbia,February,0.1,2
1994,British Columbia,March,287.0,66
1994,British Columbia,April,652.8,142
1994,British Columbia,May,730.7,212
1994,British Columbia,June,942.9,172
1994,British Columbia,July,15226.0,1030
1994,British Columbia,August,11037.9,2118
1994,British Columbia,September,790.3,238
1995,British Columbia,January,6.6,5
1995,British Columbia,October,9.3,15
1995,British Columbia,November,1.8,5
1995,British Columbia,February,2.5,5
1995,British Columbia,March,144.3,61
1995,British Columbia,April,612.5,181
1995,British Columbia,May,17251.4,316
1995,British Columbia,June,28238.6,281
1995,British Columbia,July,427.3,277
1995,British Columbia,August,85.0,90
1995,British Columbia,September,1300.7,238
1996,British Columbia,January,0.6,5
1996,British Columbia,October,42.8,16
1996,British Columbia,November,0.2,1
1996,British Columbia,December,0.2,2
1996,British Columbia,February,4.1,3
1996,British Columbia,March,30.9,31
1996,British Columbia,April,223.2,60
1996,British Columbia,May,172.4,82
1996,British Columbia,June,12766.5,155
1996,British Columbia,July,6324.4,452
1996,British Columbia,August,1077.5,489
1996,British Columbia,September,26.3,64
1997,British Columbia,October,2.1,3
1997,British Columbia,November,2.1,3
1997,British Columbia,December,90.1,2
1997,British Columbia,February,0.3,2
1997,British Columbia,March,3.5,6
1997,British Columbia,April,129.8,86
1997,British Columbia,May,500.8,131
1997,British Columbia,June,449.1,95
1997,British Columbia,July,1144.6,172
1997,British Columbia,August,340.0,514
1997,British Columbia,September,305.4,162
1998,British Columbia,January,4.1,3
1998,British Columbia,October,201.1,43
1998,British Columbia,November,8.2,4
1998,British Columbia,February,0.0,3
1998,British Columbia,March,111.201,24
1998,British Columbia,April,1168.028,148
1998,British Columbia,May,1402.739,259
1998,British Columbia,June,654.708,143
1998,British Columbia,July,47502.518,674
1998,British Columbia,August,22734.168,870
1998,British Columbia,September,2773.952,473
1999,British Columbia,October,1018.869,82
1999,British Columbia,November,4.6,6
1999,British Columbia,December,79.01,8
1999,British Columbia,February,4.0,2
1999,British Columbia,March,91.509,8
1999,British Columbia,April,1152.723,92
1999,British Columbia,May,236.063,83
1999,British Columbia,June,1604.554,118
1999,British Columbia,July,2644.284,168
1999,British Columbia,August,3853.28,522
1999,British Columbia,September,866.518,109
2000,British Columbia,October,297.469,50
2000,British Columbia,November,9.737,8
2000,British Columbia,December,0.009,1
2000,British Columbia,February,1.018,3
2000,British Columbia,March,69.05,17
2000,British Columbia,April,819.063,156
2000,British Columbia,May,360.46,81
2000,British Columbia,June,11707.895,129
2000,British Columbia,July,1418.504,392
2000,British Columbia,August,2796.383,603
2000,British Columbia,September,72.424,86
2001,British Columbia,January,15.009,5
2001,British Columbia,October,102.072,59
2001,British Columbia,November,14.763,13
2001,British Columbia,February,0.5,1
2001,British Columbia,March,138.177,30
2001,British Columbia,April,526.84,127
2001,British Columbia,May,570.01,251
2001,British Columbia,June,805.478,96
2001,British Columbia,July,1437.215,322
2001,British Columbia,August,5915.537,255
2001,British Columbia,September,301.348,132
2002,British Columbia,January,11.509,3
2002,British Columbia,October,386.031,86
2002,British Columbia,November,114.023,32
2002,British Columbia,December,73.809,6
2002,British Columbia,February,0.509,3
2002,British Columbia,March,9.209,5
2002,British Columbia,April,892.043,140
2002,British Columbia,May,917.089,159
2002,British Columbia,June,3733.609,238
2002,British Columbia,July,1676.876,404
2002,British Columbia,August,645.583,588
2002,British Columbia,September,110.27,108
2003,British Columbia,January,9.227,5
2003,British Columbia,October,15.481,40
2003,British Columbia,November,60.618,16
2003,British Columbia,February,14.018,3
2003,British Columbia,March,84.007,19
2003,British Columbia,April,528.576,98
2003,British Columbia,May,2717.306,144
2003,British Columbia,June,2643.991,271
2003,British Columbia,July,112115.409,552
2003,British Columbia,August,145353.6,1114
2003,British Columbia,September,1371.329,195
2004,British Columbia,October,145.804,35
2004,British Columbia,November,2.3,2
2004,British Columbia,December,2.0,1
2004,British Columbia,February,1.409,2
2004,British Columbia,March,139.99,43
2004,British Columbia,April,825.842,178
2004,British Columbia,May,112.712,131
2004,British Columbia,June,178229.936,637
2004,British Columbia,July,32901.083,623
2004,British Columbia,August,7624.925,715
2004,British Columbia,September,301.476,38
2005,British Columbia,January,0.018,2
2005,British Columbia,October,0.545,8
2005,British Columbia,November,194.639,7
2005,British Columbia,February,40.927,9
2005,British Columbia,March,314.455,15
2005,British Columbia,April,546.33,115
2005,British Columbia,May,26341.698,270
2005,British Columbia,June,484.343,89
2005,British Columbia,July,5765.023,145
2005,British Columbia,August,1028.066,250
2005,British Columbia,September,226.022,84
2006,British Columbia,January,67.2,3
2006,British Columbia,October,269.503,80
2006,British Columbia,November,0.109,2
2006,British Columbia,February,6.019,3
2006,British Columbia,March,8.309,9
2006,British Columbia,April,1898.536,174
2006,British Columbia,May,3722.012,202
2006,British Columbia,June,37090.341,230
2006,British Columbia,July,84068.044,1072
2006,British Columbia,August,2357.783,503
2006,British Columbia,September,9662.936,282
2007,British Columbia,January,0.1,1
2007,British Columbia,October,78.965,15
2007,British Columbia,November,15.839,4
2007,British Columbia,December,0.01,1
2007,British Columbia,February,0.03,2
2007,British Columbia,March,95.747,17
2007,British Columbia,April,507.777,76
2007,British Columbia,May,536.83,159
2007,British Columbia,June,9627.606,108
2007,British Columbia,July,12754.767,612
2007,British Columbia,August,5578.425,506
2007,British Columbia,September,289.408,106
2008,British Columbia,January,0.05,1
2008,British Columbia,October,487.238,66
2008,British Columbia,November,7.637,7
2008,British Columbia,December,0.009,1
2008,British Columbia,February,19.0,1
2008,British Columbia,March,31.47,10
2008,British Columbia,April,786.584,117
2008,British Columbia,May,5794.668,160
2008,British Columbia,June,1735.394,170
2008,British Columbia,July,2375.256,596
2008,British Columbia,August,1743.446,777
2008,British Columbia,September,366.536,119
2009,British Columbia,January,312.468,5
2009,British Columbia,October,170.844,49
2009,British Columbia,November,15.709,4
2009,British Columbia,February,1.059,4
2009,British Columbia,March,24.673,17
2009,British Columbia,April,1708.517,163
2009,British Columbia,May,35094.051,196
2009,British Columbia,June,3669.817,458
2009,British Columbia,July,168036.336,1189
2009,British Columbia,August,37125.742,628
2009,British Columbia,September,1184.252,336
2010,British Columbia,January,0.3,1
2010,British Columbia,October,498.305,51
2010,British Columbia,November,35.654,11
2010,British Columbia,December,0.1,1
2010,British Columbia,February,3.8,1
2010,British Columbia,March,82.928,30
2010,British Columbia,April,1186.398,135
2010,British Columbia,May,2266.734,87
2010,British Columbia,June,41695.365,123
2010,British Columbia,July,280236.707,808
2010,British Columbia,August,10998.495,392
2010,British Columbia,September,162.412,49
2011,British Columbia,January,0.409,2
2011,British Columbia,October,235.645,37
2011,British Columbia,November,103.127,5
2011,British Columbia,February,0.018,2
2011,British Columbia,March,16.655,9
2011,British Columbia,April,178.617,44
2011,British Columbia,May,11250.123,65
2011,British Columbia,June,90.242,65
2011,British Columbia,July,78.537,102
2011,British Columbia,August,266.698,216
2011,British Columbia,September,342.814,99
2012,British Columbia,January,0.505,2
2012,British Columbia,October,210.295,83
2012,British Columbia,November,0.018,2
2012,British Columbia,December,0.009,1
2012,British Columbia,February,0.109,2
2012,British Columbia,March,41.4,6
2012,British Columbia,April,581.6,74
2012,British Columbia,May,1154.161,168
2012,British Columbia,June,2785.488,55
2012,British Columbia,July,41431.631,414
2012,British Columbia,August,54768.5,629
2012,British Columbia,September,1142.941,204
2013,British Columbia,January,14.7,1
2013,British Columbia,October,537.961,43
2013,British Columbia,November,0.04,1
2013,British Columbia,December,1.4,2
2013,British Columbia,March,49.245,21
2013,British Columbia,April,2683.244,85
2013,British Columbia,May,1011.073,128
2013,British Columbia,June,4536.343,100
2013,British Columbia,July,2160.106,365
2013,British Columbia,August,3493.303,992
2013,British Columbia,September,3815.684,129
2014,British Columbia,January,0.009,1
2014,British Columbia,October,93.929,40
2014,British Columbia,December,0.069,2
2014,British Columbia,February,38.018,4
2014,British Columbia,March,53.368,10
2014,British Columbia,April,653.94,107
2014,British Columbia,May,2267.561,105
2014,British Columbia,June,37004.468,132
2014,British Columbia,July,305023.733,485
2014,British Columbia,August,23459.327,496
2014,British Columbia,September,331.764,87
2015,British Columbia,October,32.468,27
2015,British Columbia,November,0.118,3
2015,British Columbia,December,0.009,1
2015,British Columbia,February,6.5,2
2015,British Columbia,March,292.704,30
2015,British Columbia,April,867.395,82
2015,British Columbia,May,139298.593,309
2015,British Columbia,June,91354.615,440
2015,British Columbia,July,31237.114,535
2015,British Columbia,August,17770.445,403
2015,British Columbia,September,4.3,31
2016,British Columbia,January,0.748,3
2016,British Columbia,October,29.372,12
2016,British Columbia,November,0.919,3
2016,British Columbia,February,411.209,7
2016,British Columbia,March,424.445,27
2016,British Columbia,April,91172.189,158
2016,British Columbia,May,288.288,127
2016,British Columbia,June,1198.928,161
2016,British Columbia,July,5164.174,205
2016,British Columbia,August,1675.297,323
2016,British Columbia,September,12.062,42
