Year,Jurisdiction,Month,Area (hectares),Number
2019,Nova Scotia,August,27.62,34
2019,Nova Scotia,September,0.69,9
1990,Northwest Territories,May,54.64,10
1990,Northwest Territories,June,3838.41,98
1990,Northwest Territories,July,100678.28,113
1990,Northwest Territories,August,45.56,13
1990,Northwest Territories,September,0.51,2
1991,Northwest Territories,May,7.61,5
1991,Northwest Territories,June,14135.78,59
1991,Northwest Territories,July,133586.08,149
1991,Northwest Territories,August,77736.2,117
1991,Northwest Territories,September,0.75,1
1992,Northwest Territories,May,33.07,9
1992,Northwest Territories,June,9548.45,31
1992,Northwest Territories,July,21961.16,130
1992,Northwest Territories,August,5200.79,100
1992,Northwest Territories,September,205.98,15
1993,Northwest Territories,December,0.02,2
1993,Northwest Territories,May,7420.85,13
1993,Northwest Territories,June,98077.91,175
1993,Northwest Territories,July,758719.67,249
1993,Northwest Territories,August,65.82,30
1993,Northwest Territories,September,1.56,4
1994,Northwest Territories,January,0.02,2
1994,Northwest Territories,October,6.55,8
1994,Northwest Territories,November,0.2,1
1994,Northwest Territories,December,0.5,1
1994,Northwest Territories,February,0.01,1
1994,Northwest Territories,April,0.75,1
1994,Northwest Territories,May,27941.01,37
1994,Northwest Territories,June,1057680.22,185
1994,Northwest Territories,July,1732458.96,326
1994,Northwest Territories,August,203213.5,78
1994,Northwest Territories,September,6012.83,13
1995,Northwest Territories,October,0.01,1
1995,Northwest Territories,November,0.1,3
1995,Northwest Territories,April,200.0,1
1995,Northwest Territories,May,69031.91,24
1995,Northwest Territories,June,2491437.67,79
1995,Northwest Territories,July,28777.48,56
1995,Northwest Territories,August,253904.45,47
1995,Northwest Territories,September,14.82,7
1996,Northwest Territories,April,1.5,1
1996,Northwest Territories,May,2014.01,11
1996,Northwest Territories,June,281701.6,182
1996,Northwest Territories,July,86436.9,134
1996,Northwest Territories,August,1390.71,22
1997,Northwest Territories,May,0.01,1
1997,Northwest Territories,June,5539.24,17
1997,Northwest Territories,July,120774.08,74
1997,Northwest Territories,August,204.84,10
1997,Northwest Territories,September,13.1,3
1998,Northwest Territories,May,14035.62,24
1998,Northwest Territories,June,306511.26,76
1998,Northwest Territories,July,1077845.83,228
1998,Northwest Territories,August,60566.6,69
1998,Northwest Territories,September,0.85,2
1999,Northwest Territories,April,3358.0,1
1999,Northwest Territories,May,7802.01,3
1999,Northwest Territories,June,412386.78,70
1999,Northwest Territories,July,109823.67,39
1999,Northwest Territories,August,18643.23,53
1999,Northwest Territories,September,9020.95,6
2000,Northwest Territories,May,3.61,5
2000,Northwest Territories,June,61749.93,90
2000,Northwest Territories,July,99864.72,144
2000,Northwest Territories,August,16217.53,36
2001,Northwest Territories,June,36086.13,49
2001,Northwest Territories,July,66827.99,71
2001,Northwest Territories,August,8347.0,5
2001,Northwest Territories,September,0.6,2
2002,Northwest Territories,May,0.2,2
2002,Northwest Territories,June,6484.52,38
2002,Northwest Territories,July,19231.93,41
2002,Northwest Territories,August,1372.52,4
2003,Northwest Territories,May,7.68,6
2003,Northwest Territories,June,8381.57,48
2003,Northwest Territories,July,117710.32,86
2003,Northwest Territories,August,1571.83,19
2003,Northwest Territories,September,150.0,1
2004,Northwest Territories,October,6.6,2
2004,Northwest Territories,November,1.0,1
2004,Northwest Territories,May,2.7,3
2004,Northwest Territories,June,41191.03,49
2004,Northwest Territories,July,450658.64,206
2004,Northwest Territories,August,15478.75,27
2004,Northwest Territories,September,8282.31,9
2005,Northwest Territories,October,0.4,1
2005,Northwest Territories,May,2989.99,15
2005,Northwest Territories,June,5700.47,43
2005,Northwest Territories,July,209403.44,194
2005,Northwest Territories,August,36.81,5
2005,Northwest Territories,September,1.51,3
2006,Northwest Territories,October,0.1,1
2006,Northwest Territories,May,0.01,1
2006,Northwest Territories,June,4709.6,34
2006,Northwest Territories,July,39652.79,58
2006,Northwest Territories,August,8913.53,63
2006,Northwest Territories,September,121.0,9
2007,Northwest Territories,May,89542.1,2
2007,Northwest Territories,June,181028.7,79
2007,Northwest Territories,July,172367.66,89
2007,Northwest Territories,August,2190.92,14
2008,Northwest Territories,May,5.04,8
2008,Northwest Territories,June,102177.55,61
2008,Northwest Territories,July,177236.33,85
2008,Northwest Territories,August,29369.83,86
2009,Northwest Territories,May,2.1,3
2009,Northwest Territories,June,483.7,15
2009,Northwest Territories,July,1546.4,10
2009,Northwest Territories,August,24.45,13
2009,Northwest Territories,September,0.2,1
2010,Northwest Territories,May,6.91,5
2010,Northwest Territories,June,172406.3,81
2010,Northwest Territories,July,177329.74,121
2010,Northwest Territories,August,1114.03,13
2010,Northwest Territories,September,70.01,4
2011,Northwest Territories,May,25.02,14
2011,Northwest Territories,June,239015.5804,78
2011,Northwest Territories,July,87025.8842,83
2011,Northwest Territories,August,3490.32,22
2011,Northwest Territories,September,24.02,2
2012,Northwest Territories,May,23833.83,12
2012,Northwest Territories,June,116113.75,75
2012,Northwest Territories,July,138031.96,143
2012,Northwest Territories,August,21055.31,41
2012,Northwest Territories,September,721.51,10
2013,Northwest Territories,May,1034.93,4
2013,Northwest Territories,June,431823.55,145
2013,Northwest Territories,July,73225.41,75
2013,Northwest Territories,August,31787.5,19
2013,Northwest Territories,September,1.33,5
2014,Northwest Territories,April,0.5,1
2014,Northwest Territories,May,74297.65,4
2014,Northwest Territories,June,2183079.64,117
2014,Northwest Territories,July,1029607.55,187
2014,Northwest Territories,August,131305.18,76
2015,Northwest Territories,November,3346.7,4
2015,Northwest Territories,May,203821.82,53
2015,Northwest Territories,June,393496.95,123
2015,Northwest Territories,July,25877.05,38
2015,Northwest Territories,August,20445.12,27
2016,Northwest Territories,May,8.02,3
2016,Northwest Territories,June,108060.67,54
2016,Northwest Territories,July,142762.63,111
2016,Northwest Territories,August,4168.04,20
2017,Northwest Territories,May,941.03,17
2017,Northwest Territories,June,106087.21,32
2017,Northwest Territories,July,823762.51,123
2017,Northwest Territories,August,97971.93,76
2017,Northwest Territories,September,1496.13,13
2018,Northwest Territories,November,0.1,1
2018,Northwest Territories,May,3.02,3
2018,Northwest Territories,June,3232.31,14
2018,Northwest Territories,July,7998.2,34
2018,Northwest Territories,August,4483.0,5
2018,Northwest Territories,September,21.01,2
2019,Northwest Territories,November,0.1,1
2019,Northwest Territories,April,1.06,6
2019,Northwest Territories,May,3484.29,8
2019,Northwest Territories,June,6054.13,32
2019,Northwest Territories,July,94783.08,88
2019,Northwest Territories,August,844.51,11
1990,Ontario,October,21.60000005,31
1990,Ontario,November,1661.4,16
1990,Ontario,March,187.8000005,62
1990,Ontario,April,683.5000017,185
1990,Ontario,May,5914.7,242
1990,Ontario,June,2118.9,111
1990,Ontario,July,131454.3,237
1990,Ontario,August,41511.5,543
1990,Ontario,September,59.50000052,185
1991,Ontario,October,21.00000001,11
1991,Ontario,November,66.80000006,12
1991,Ontario,December,0.200000003,1
1991,Ontario,March,18.60000005,12
1991,Ontario,April,1084.900001,210
1991,Ontario,May,123712.3,231
1991,Ontario,June,37067.9,415
1991,Ontario,July,74602.7,586
1991,Ontario,August,82190.5,944
1991,Ontario,September,46.20000017,138
1992,Ontario,October,5.200000025,11
1992,Ontario,March,1.200000003,2
1992,Ontario,April,120.5000003,58
1992,Ontario,May,3872.100001,347
1992,Ontario,June,171293.7,380
1992,Ontario,July,91.20000008,60
1992,Ontario,August,606.4000003,94
1992,Ontario,September,4.100000009,8
1993,Ontario,October,3.000000015,10
1993,Ontario,November,10.39999995,4
1993,Ontario,December,12.0,2
1993,Ontario,March,532.0,1
1993,Ontario,April,351.5000003,112
1993,Ontario,May,7675.400001,171
1993,Ontario,June,95768.5,129
1993,Ontario,July,71.90000046,158
1993,Ontario,August,237.3000004,144
1993,Ontario,September,2.800000049,11
1994,Ontario,October,68.10000004,27
1994,Ontario,November,7.700000077,7
1994,Ontario,March,0.800000012,4
1994,Ontario,April,667.000001,222
1994,Ontario,May,910.3000007,266
1994,Ontario,June,78312.2,412
1994,Ontario,July,3517.8,59
1994,Ontario,August,115.8000001,55
1994,Ontario,September,4.700000063,27
1995,Ontario,October,95.80000019,36
1995,Ontario,November,0.500000007,2
1995,Ontario,March,310.2000017,137
1995,Ontario,April,560.1000006,128
1995,Ontario,May,56938.5,230
1995,Ontario,June,332496.8,900
1995,Ontario,July,33676.5,150
1995,Ontario,August,188432.3,442
1995,Ontario,September,52.20000028,125
1996,Ontario,October,190.1,11
1996,Ontario,March,5.900000006,7
1996,Ontario,April,29.29999992,30
1996,Ontario,May,1038.200001,241
1996,Ontario,June,424614.0,570
1996,Ontario,July,20414.3,198
1996,Ontario,August,2595.6,144
1996,Ontario,September,114.4000002,73
1997,Ontario,October,29.00000012,18
1997,Ontario,November,0.100000001,1
1997,Ontario,April,239.4000003,136
1997,Ontario,May,5004.8,180
1997,Ontario,June,20649.2,425
1997,Ontario,July,12246.9,371
1997,Ontario,August,413.7000012,423
1997,Ontario,September,36.20000021,90
1998,Ontario,October,108.9000001,32
1998,Ontario,November,14.80000006,8
1998,Ontario,December,0.200000003,2
1998,Ontario,March,730.5,11
1998,Ontario,April,27659.7,207
1998,Ontario,May,24542.4,463
1998,Ontario,June,34159.0,254
1998,Ontario,July,69189.7,710
1998,Ontario,August,1678.200001,477
1998,Ontario,September,89.00000029,127
1999,Ontario,October,0.400000006,4
1999,Ontario,November,1.200000003,3
1999,Ontario,February,0.800000012,1
1999,Ontario,March,33.2,6
1999,Ontario,April,73824.5,146
1999,Ontario,May,218562.7,234
1999,Ontario,June,14236.1,154
1999,Ontario,July,298.0000005,217
1999,Ontario,August,21241.9,196
1999,Ontario,September,128.0000002,64
2000,Ontario,October,511.200002,83
2000,Ontario,November,89.59999984,7
2000,Ontario,February,0.100000001,1
2000,Ontario,March,98.80000005,17
2000,Ontario,April,604.4000002,99
2000,Ontario,May,246.6000006,88
2000,Ontario,June,452.3000001,44
2000,Ontario,July,4672.6,117
2000,Ontario,August,63.60000046,156
2000,Ontario,September,19.50000023,38
2001,Ontario,January,0.5,1
2001,Ontario,October,4.399999999,10
2001,Ontario,November,2.100000001,2
2001,Ontario,March,2.0,1
2001,Ontario,April,380.4000005,52
2001,Ontario,May,2518.999998,114
2001,Ontario,June,3055.3,267
2001,Ontario,July,4299.400001,373
2001,Ontario,August,494.9000013,657
2001,Ontario,September,87.20000017,109
2002,Ontario,October,1.20000001,8
2002,Ontario,November,0.100000001,1
2002,Ontario,March,6.0,1
2002,Ontario,April,53.00000005,26
2002,Ontario,May,1928.3,105
2002,Ontario,June,52621.2,85
2002,Ontario,July,125647.5,536
2002,Ontario,August,1424.100001,212
2002,Ontario,September,88.30000053,187
2003,Ontario,January,68.90000004,28
2003,Ontario,October,6.500000075,18
2003,Ontario,November,63.1999993,23
2003,Ontario,December,38.80000007,40
2003,Ontario,February,29.1999999,25
2003,Ontario,March,92.40000007,37
2003,Ontario,April,412.0000002,95
2003,Ontario,May,956.3000005,121
2003,Ontario,June,308517.3,286
2003,Ontario,July,4480.9,133
2003,Ontario,August,4370.600001,202
2003,Ontario,September,74.89999991,31
2004,Ontario,October,22.69999994,18
2004,Ontario,April,1286.399998,34
2004,Ontario,May,32.10000002,64
2004,Ontario,June,57.30000074,79
2004,Ontario,July,93.00000019,101
2004,Ontario,August,31.8000003,98
2004,Ontario,September,94.29999999,40
2005,Ontario,October,12.60000006,14
2005,Ontario,November,0.300000004,3
2005,Ontario,April,196.9000013,86
2005,Ontario,May,1471.800001,159
2005,Ontario,June,14070.9,194
2005,Ontario,July,11027.9,597
2005,Ontario,August,15451.3,694
2005,Ontario,September,106.9000003,212
2006,Ontario,January,0.300000012,1
2006,Ontario,October,8.100000076,19
2006,Ontario,November,3.699999988,2
2006,Ontario,March,100.3,3
2006,Ontario,April,170.3999986,83
2006,Ontario,May,551.8000001,150
2006,Ontario,June,11462.2,273
2006,Ontario,July,20572.5,593
2006,Ontario,August,55649.2,500
2006,Ontario,September,61103.00001,658
2007,Ontario,October,3.400000006,5
2007,Ontario,November,0.100000001,1
2007,Ontario,February,0.300000004,2
2007,Ontario,March,2.900000043,15
2007,Ontario,April,246.9999991,105
2007,Ontario,May,33394.3,235
2007,Ontario,June,2517.9,91
2007,Ontario,July,4099.5,201
2007,Ontario,August,369.6000017,423
2007,Ontario,September,16.80000016,48
2008,Ontario,October,4.100000016,9
2008,Ontario,November,0.200000003,1
2008,Ontario,April,53.00000002,29
2008,Ontario,May,49.10000023,78
2008,Ontario,June,280.0000001,33
2008,Ontario,July,26.10000005,35
2008,Ontario,August,899.5000002,132
2008,Ontario,September,4.399999991,23
2009,Ontario,October,0.500000007,5
2009,Ontario,April,65.99999902,24
2009,Ontario,May,173.4000008,110
2009,Ontario,June,20401.5,140
2009,Ontario,July,14.40000015,42
2009,Ontario,August,2.700000048,20
2009,Ontario,September,32.10000014,46
2010,Ontario,October,43.0000001,23
2010,Ontario,November,0.200000003,2
2010,Ontario,March,569.3999993,34
2010,Ontario,April,317.3999993,197
2010,Ontario,May,10969.6,334
2010,Ontario,June,1455.9,83
2010,Ontario,July,1261.0,166
2010,Ontario,August,206.2000003,80
2010,Ontario,September,1.50000003,12
2011,Ontario,October,277.8000003,58
2011,Ontario,November,1.00000003,4
2011,Ontario,December,0.400000006,3
2011,Ontario,April,26.9999999,30
2011,Ontario,May,1443.5,145
2011,Ontario,June,160162.4,129
2011,Ontario,July,469315.2,397
2011,Ontario,August,3435.800001,400
2011,Ontario,September,711.1999998,170
2012,Ontario,January,0.100000001,1
2012,Ontario,October,1.600000024,13
2012,Ontario,November,0.200000003,2
2012,Ontario,March,53.90000035,14
2012,Ontario,April,295.5999986,136
2012,Ontario,May,48556.8,273
2012,Ontario,June,4200.500001,125
2012,Ontario,July,96516.9,708
2012,Ontario,August,213.7000002,180
2012,Ontario,September,2916.100001,168
2013,Ontario,October,0.800000012,8
2013,Ontario,April,44.30000074,18
2013,Ontario,May,413.2,140
2013,Ontario,June,23873.7,122
2013,Ontario,July,26633.9,168
2013,Ontario,August,101.2000007,105
2013,Ontario,September,22.90000003,20
2014,Ontario,October,300.5,6
2014,Ontario,March,0.100000001,1
2014,Ontario,April,125.9000004,5
2014,Ontario,May,49.20000011,53
2014,Ontario,June,3152.8,73
2014,Ontario,July,1945.4,86
2014,Ontario,August,191.1000001,77
2014,Ontario,September,380.5,7
2015,Ontario,October,1.600000031,14
2015,Ontario,December,0.100000001,1
2015,Ontario,March,117.3000002,2
2015,Ontario,April,373.9000003,64
2015,Ontario,May,2477.100001,125
2015,Ontario,June,33902.2,132
2015,Ontario,July,2459.700001,165
2015,Ontario,August,74.30000033,113
2015,Ontario,September,3317.6,55
2016,Ontario,October,3031.7,11
2016,Ontario,November,30.60000001,4
2016,Ontario,March,79.1,2
2016,Ontario,April,33.4999999,38
2016,Ontario,May,81166.1,176
2016,Ontario,June,323.4000003,139
2016,Ontario,July,1370.300002,145
2016,Ontario,August,169.0000004,112
2016,Ontario,September,5.100000016,21
2017,Ontario,October,493.4000002,30
2017,Ontario,March,94.2,3
2017,Ontario,April,25.79999968,23
2017,Ontario,May,29.30000024,46
2017,Ontario,June,20645.9,40
2017,Ontario,July,73383.1,230
2017,Ontario,August,17507.1,369
2017,Ontario,September,603.5000003,38
2018,Ontario,April,143.9999997,18
2018,Ontario,May,4038.300002,190
2018,Ontario,June,77069.1,245
2018,Ontario,July,166056.3,521
2018,Ontario,August,18206.6,299
2018,Ontario,September,175.7000002,55
2019,Ontario,October,0.400000006,4
2019,Ontario,April,98.30000004,19
2019,Ontario,May,3990.200001,58
2019,Ontario,June,256939.3,103
2019,Ontario,July,8539.000001,152
2019,Ontario,August,154.6000004,193
2019,Ontario,September,3.400000013,9
1990,Parks Canada,May,11.6,4
1990,Parks Canada,June,74.8,18
1990,Parks Canada,July,24068.8,24
1990,Parks Canada,August,645.1,19
1991,Parks Canada,October,0.1,1
1991,Parks Canada,May,210.3,4
1991,Parks Canada,June,1.5,3
1991,Parks Canada,July,15.5,6
1991,Parks Canada,August,802.2,6
1991,Parks Canada,September,0.1,1
1992,Parks Canada,July,13.3,5
1993,Parks Canada,March,350.0,1
1993,Parks Canada,May,1.0,1
1993,Parks Canada,June,1249.6,28
1993,Parks Canada,July,31.2,4
1994,Parks Canada,May,829.0,1
1994,Parks Canada,June,37525.4,25
1994,Parks Canada,July,19702.4,13
1994,Parks Canada,August,8636.7,13
1994,Parks Canada,September,451.0,2
1995,Parks Canada,November,0.4,1
1995,Parks Canada,May,379.8,3
1995,Parks Canada,June,2865.6,5
1995,Parks Canada,July,1159.0,2
1996,Parks Canada,June,13630.6,18
1996,Parks Canada,July,5.0,3
1996,Parks Canada,August,0.1,1
1997,Parks Canada,June,13.0,2
1997,Parks Canada,July,186.0,5
1998,Parks Canada,October,200.0,1
1998,Parks Canada,May,305.6,10
1998,Parks Canada,June,10022.4,12
1998,Parks Canada,July,10741.2,11
1998,Parks Canada,August,6724.0,8
1998,Parks Canada,September,15.0,1
1999,Parks Canada,March,0.3,1
1999,Parks Canada,May,1875.0,2
1999,Parks Canada,June,66845.1,6
1999,Parks Canada,July,170.1,5
1999,Parks Canada,September,600.0,2
2000,Parks Canada,January,1.0,1
2000,Parks Canada,October,80.1,5
2000,Parks Canada,March,1581.5,5
2000,Parks Canada,April,2017.55,10
2000,Parks Canada,May,1798.01,15
2000,Parks Canada,June,1129.33,20
2000,Parks Canada,July,5389.16,41
2000,Parks Canada,August,933.73,27
2000,Parks Canada,September,77.04,4
2001,Parks Canada,January,0.7,2
2001,Parks Canada,October,122.0,2
2001,Parks Canada,November,0.1,1
2001,Parks Canada,March,0.5,1
2001,Parks Canada,April,151.6,9
2001,Parks Canada,May,2509.366,29
2001,Parks Canada,June,5446.321,12
2001,Parks Canada,July,8390.816,28
2001,Parks Canada,August,6910.182,32
2001,Parks Canada,September,1461.46,12
2002,Parks Canada,January,0.3,1
2002,Parks Canada,October,40.0,1
2002,Parks Canada,November,0.21,3
2002,Parks Canada,December,0.1,1
2002,Parks Canada,February,0.11,2
2002,Parks Canada,March,0.5,1
2002,Parks Canada,April,1271.1,4
2002,Parks Canada,May,437.18,18
2002,Parks Canada,June,4171.0,29
2002,Parks Canada,July,2834.3,23
2002,Parks Canada,August,103.12,16
2002,Parks Canada,September,26.3,4
2003,Parks Canada,January,100.0,1
2003,Parks Canada,October,45.0,1
2003,Parks Canada,March,6.2,1
2003,Parks Canada,April,8552.7,8
2003,Parks Canada,May,28512.95,8
2003,Parks Canada,June,1423.3,21
2003,Parks Canada,July,108524.2,31
2003,Parks Canada,August,4644.55,50
2003,Parks Canada,September,139.551,8
2004,Parks Canada,October,6.75,3
2004,Parks Canada,March,0.3,1
2004,Parks Canada,April,3135.1,7
2004,Parks Canada,May,5.242,5
2004,Parks Canada,June,100812.4006,17
2004,Parks Canada,July,88153.83,55
2004,Parks Canada,August,6616.02,12
2004,Parks Canada,September,0.1,1
2005,Parks Canada,January,0.1,1
2005,Parks Canada,October,78.1,3
2005,Parks Canada,April,3301.21,14
2005,Parks Canada,May,1855.4,16
2005,Parks Canada,June,28695.51,23
2005,Parks Canada,July,2256.0,21
2005,Parks Canada,August,1048.601,25
2005,Parks Canada,September,81.1,4
2006,Parks Canada,January,0.01,1
2006,Parks Canada,October,1.5,1
2006,Parks Canada,December,0.4,1
2006,Parks Canada,March,3174.0,3
2006,Parks Canada,April,2275.25,12
2006,Parks Canada,May,2480.8,16
2006,Parks Canada,June,8534.0,33
2006,Parks Canada,July,13759.69,55
2006,Parks Canada,August,2353.41,19
2006,Parks Canada,September,257.01,8
2007,Parks Canada,January,0.01,1
2007,Parks Canada,October,144.04,4
2007,Parks Canada,February,0.02,1
2007,Parks Canada,March,121.0,2
2007,Parks Canada,April,1068.7,8
2007,Parks Canada,May,214502.6,10
2007,Parks Canada,June,460.82,9
2007,Parks Canada,July,7547.93,32
2007,Parks Canada,August,2.22,19
2007,Parks Canada,September,516.24,9
2008,Parks Canada,January,48.7,5
2008,Parks Canada,October,4.0,1
2008,Parks Canada,November,134.1,4
2008,Parks Canada,December,356.22,5
2008,Parks Canada,February,0.11,2
2008,Parks Canada,March,1738.13,6
2008,Parks Canada,April,204.0,2
2008,Parks Canada,May,0.11,2
2008,Parks Canada,June,16.2,6
2008,Parks Canada,July,0.7,2
2008,Parks Canada,August,0.021,3
2008,Parks Canada,September,21.12,5
2009,Parks Canada,January,1437.601,7
2009,Parks Canada,October,1.6,2
2009,Parks Canada,November,40.101,3
2009,Parks Canada,December,203.22,7
2009,Parks Canada,February,1500.41,6
2009,Parks Canada,March,879.37,5
2009,Parks Canada,April,20.8,4
2009,Parks Canada,May,407.11,5
2009,Parks Canada,June,0.01,1
2009,Parks Canada,July,74.02,5
2009,Parks Canada,August,114.201,5
2009,Parks Canada,September,0.52,3
2010,Parks Canada,January,110.2,5
2010,Parks Canada,October,24.33,8
2010,Parks Canada,November,1475.2,3
2010,Parks Canada,December,2.51,4
2010,Parks Canada,February,0.301,3
2010,Parks Canada,March,384.7,3
2010,Parks Canada,April,482.81,12
2010,Parks Canada,May,4018.2404,9
2010,Parks Canada,June,555.45,28
2010,Parks Canada,July,865.96,37
2010,Parks Canada,August,8.11,4
2010,Parks Canada,September,55.53,8
2011,Parks Canada,October,113.7,4
2011,Parks Canada,November,0.201,2
2011,Parks Canada,April,14767.804,8
2011,Parks Canada,May,64058.103,9
2011,Parks Canada,June,6339.303,10
2011,Parks Canada,July,111.271,21
2011,Parks Canada,August,1318.907,14
2011,Parks Canada,September,3266.504,26
2012,Parks Canada,October,15.0,1
2012,Parks Canada,March,67.21,4
2012,Parks Canada,April,1049.1,5
2012,Parks Canada,May,115312.4,10
2012,Parks Canada,June,37160.202,10
2012,Parks Canada,July,119013.7821,40
2012,Parks Canada,August,1461.092,26
2012,Parks Canada,September,424.73,12
2013,Parks Canada,October,0.11,3
2013,Parks Canada,November,1.3,2
2013,Parks Canada,February,3.0,1
2013,Parks Canada,April,4843.8,7
2013,Parks Canada,May,6056.41,23
2013,Parks Canada,June,27994.61,20
2013,Parks Canada,July,19813.7312,27
2013,Parks Canada,August,1117.7,31
2013,Parks Canada,September,13.11,8
2014,Parks Canada,January,9.0,1
2014,Parks Canada,November,8.0,1
2014,Parks Canada,April,42.0,1
2014,Parks Canada,May,2946.0,5
2014,Parks Canada,June,100858.5,19
2014,Parks Canada,July,101903.04,21
2014,Parks Canada,August,64419.302,23
2014,Parks Canada,September,131.8611,6
2015,Parks Canada,October,25.0,1
2015,Parks Canada,November,6.2,1
2015,Parks Canada,March,90.0,1
2015,Parks Canada,April,3559.31,11
2015,Parks Canada,May,290391.2,27
2015,Parks Canada,June,165549.61,56
2015,Parks Canada,July,2561.5011,26
2015,Parks Canada,August,1876.3891,20
2015,Parks Canada,September,970.41,7
2016,Parks Canada,October,0.01,1
2016,Parks Canada,November,21.6,1
2016,Parks Canada,March,620.3538,4
2016,Parks Canada,April,1784.6101,12
2016,Parks Canada,May,561.465,10
2016,Parks Canada,June,7110.9611,21
2016,Parks Canada,July,672.1702,21
2016,Parks Canada,August,212.18,11
2016,Parks Canada,September,196.1501,8
2017,Parks Canada,January,0.01,1
2017,Parks Canada,October,30.053,5
2017,Parks Canada,February,0.367,3
2017,Parks Canada,March,147.3,1
2017,Parks Canada,April,833.52,8
2017,Parks Canada,May,28354.642,31
2017,Parks Canada,June,5587.09,17
2017,Parks Canada,July,61005.6698,68
2017,Parks Canada,August,4026.2013,29
2017,Parks Canada,September,19335.06001,16
2018,Parks Canada,January,0.0101,2
2018,Parks Canada,October,141.4,3
2018,Parks Canada,November,4.1,3
2018,Parks Canada,December,0.0001,1
2018,Parks Canada,March,2.107,6
2018,Parks Canada,April,72.22,6
2018,Parks Canada,May,55320.2106,34
2018,Parks Canada,June,147.5005,27
2018,Parks Canada,July,10443.0736,46
2018,Parks Canada,August,9431.5523,35
2018,Parks Canada,September,0.041,5
2019,Parks Canada,January,0.04,3
2019,Parks Canada,October,0.201,2
2019,Parks Canada,March,0.84,2
2019,Parks Canada,April,90.64,9
2019,Parks Canada,May,81511.26,12
2019,Parks Canada,June,23659.431,13
2019,Parks Canada,July,12796.80001,34
2019,Parks Canada,August,36.7711,9
2019,Parks Canada,September,0.2101,3
2018,Prince Edward Island,May,7.327422169,7
2018,Prince Edward Island,September,0.062729291,1
2019,Prince Edward Island,December,5.708664754,1
2019,Prince Edward Island,April,8.452463488,1
2019,Prince Edward Island,August,0.05,1
1990,Quebec,October,40.0,4
1990,Quebec,March,0.0,1
1990,Quebec,April,56.6,59
1990,Quebec,May,5704.5,214
1990,Quebec,June,2917.0,139
1990,Quebec,July,51866.5,178
1990,Quebec,August,22719.0,138
1990,Quebec,September,39.0,118
1991,Quebec,October,3.6,6
1991,Quebec,November,0.7,5
1991,Quebec,March,0.0,1
1991,Quebec,April,94.2,64
1991,Quebec,May,1415.6,220
1991,Quebec,June,394184.9,408
1991,Quebec,July,9732.9,318
1991,Quebec,August,32889.9,162
1991,Quebec,September,9.6,32
1992,Quebec,October,0.3,7
1992,Quebec,November,0.3,2
1992,Quebec,April,35.3,44
1992,Quebec,May,5558.6,405
1992,Quebec,June,6758.9,180
1992,Quebec,July,1230.3,54
1992,Quebec,August,13517.5,59
1992,Quebec,September,10.3,14
1993,Quebec,October,2.0,4
1993,Quebec,November,1.6,1
1993,Quebec,April,25.8,32
1993,Quebec,May,225.6,188
1993,Quebec,June,124307.6,98
1993,Quebec,July,621.0,129
1993,Quebec,August,3050.1,81
1993,Quebec,September,0.3,10
1994,Quebec,October,121.9,46
1994,Quebec,November,6.5,7
1994,Quebec,April,66.4,15
1994,Quebec,May,1062.1,218
1994,Quebec,June,114685.7,139
1994,Quebec,July,67.8,27
1994,Quebec,August,4.6,30
1994,Quebec,September,25.3,17
1995,Quebec,October,15.9,23
1995,Quebec,November,3.0,1
1995,Quebec,March,7.2,9
1995,Quebec,April,84.3,33
1995,Quebec,May,363.7,139
1995,Quebec,June,451241.1,470
1995,Quebec,July,47192.1,170
1995,Quebec,August,228797.5,367
1995,Quebec,September,21.9,53
1996,Quebec,October,5.8,19
1996,Quebec,November,0.4,1
1996,Quebec,April,3.6,5
1996,Quebec,May,384.8,163
1996,Quebec,June,438669.1,706
1996,Quebec,July,192047.3,55
1996,Quebec,August,60464.2,209
1996,Quebec,September,14.4,92
1997,Quebec,October,73.5,44
1997,Quebec,November,0.0,1
1997,Quebec,April,27.3,21
1997,Quebec,May,37.8,63
1997,Quebec,June,385457.4,436
1997,Quebec,July,7419.2,143
1997,Quebec,August,63.7,146
1997,Quebec,September,0.3,22
1998,Quebec,October,150.4,29
1998,Quebec,November,1.4,8
1998,Quebec,April,137.6,115
1998,Quebec,May,27626.7,279
1998,Quebec,June,277909.2,112
1998,Quebec,July,112254.5,106
1998,Quebec,August,217.9,171
1998,Quebec,September,9.1,34
1999,Quebec,October,0.0,5
1999,Quebec,November,0.4,7
1999,Quebec,April,190.3,92
1999,Quebec,May,8657.4,311
1999,Quebec,June,87917.9,197
1999,Quebec,July,244.2,140
1999,Quebec,August,295.2,165
1999,Quebec,September,441.8,120
2000,Quebec,October,8.1,25
2000,Quebec,November,23.3,4
2000,Quebec,March,0.0,1
2000,Quebec,April,79.1,80
2000,Quebec,May,182.6,100
2000,Quebec,June,106.3,74
2000,Quebec,July,38314.0,137
2000,Quebec,August,481.5,51
2000,Quebec,September,13.4,44
2001,Quebec,October,31.6,8
2001,Quebec,November,0.0,2
2001,Quebec,April,155.1,98
2001,Quebec,May,5100.2,294
2001,Quebec,June,7768.6,127
2001,Quebec,July,19323.4,109
2001,Quebec,August,684.5,324
2001,Quebec,September,4.8,41
2002,Quebec,October,0.0,11
2002,Quebec,November,0.0,1
2002,Quebec,March,0.0,1
2002,Quebec,April,37.2,53
2002,Quebec,May,456.9,127
