,Year,Jurisdiction,Month,Area (hectares),Number,ONI,Phase,DateTime,MeanNum,MeanArea,anomalyArea,anomalyNumber
682,2004,Manitoba,July,25105.3,35,0.47,N,2004-07-01,96.83333333333333,65655.53333333334,-0.9613429033225416,-1.0176432261344426
683,2004,Manitoba,August,312.1,2,0.64,E,2004-08-01,69.0,21649.239999999998,-4.239401979611648,-3.5409593240373143
684,2004,New Brunswick,May,233.0,118,0.17,N,2004-05-01,101.36666666666666,324.7366666666666,-0.3319761439186321,0.15194031845045552
685,2004,New Brunswick,June,84.5,41,0.28,N,2004-06-01,48.666666666666664,407.5666666666666,-1.5734529841189064,-0.1714222663359189
686,2004,New Brunswick,July,6.3,14,0.47,N,2004-07-01,39.266666666666666,36.99666666666667,-1.7702781850982916,-1.0313186529341178
687,2004,New Brunswick,August,2.5,11,0.64,E,2004-08-01,47.3,32.88666666666667,-2.5767765752633274,-1.4586150226995167
688,2004,Newfoundland and Labrador,May,1198.1,65,0.17,N,2004-05-01,28.866666666666667,340.4933333333334,1.2580967012983741,0.8116997429953573
689,2004,Newfoundland and Labrador,June,18.5,16,0.28,N,2004-06-01,23.233333333333334,3956.4066666666668,-5.365320752813519,-0.37299930685858734
690,2004,Newfoundland and Labrador,July,10.0,14,0.47,N,2004-07-01,15.266666666666667,5015.961599999999,-6.217795333787015,-0.08661447283677105
691,2004,Newfoundland and Labrador,August,5.5,23,0.64,E,2004-08-01,16.433333333333334,4493.5539393333365,-6.705651098645381,0.3361824235486149
692,2004,Northwest Territories,May,2.7,3,0.17,N,2004-05-01,10.166666666666666,17611.68966666667,-8.78306637314838,-1.2205021062771466
693,2004,Northwest Territories,June,41191.03,49,0.28,N,2004-06-01,74.3,296274.0203466667,-1.973064256296609,-0.41629065361308676
694,2004,Northwest Territories,July,450658.64,206,0.47,N,2004-07-01,116.16666666666667,270865.54480666673,0.5090876039909155,0.5728502272571121
695,2004,Northwest Territories,August,15478.75,27,0.64,E,2004-08-01,37.36666666666667,34038.66033333333,-0.78802883172354,-0.32494217540567544
696,2004,Nova Scotia,May,180.72,137,0.17,N,2004-05-01,86.6,185.45746667033328,-0.02587669340984553,0.45868111025973546
697,2004,Nova Scotia,June,23.16,52,0.28,N,2004-06-01,33.53333333333333,148.04179999833335,-1.8550680136039637,0.43870374958389824
698,2004,Nova Scotia,July,1.47,10,0.47,N,2004-07-01,30.866666666666667,34.10286666516667,-3.144119046392617,-1.1270917599899783
699,2004,Nova Scotia,August,1.07,15,0.64,E,2004-08-01,28.566666666666666,28.31560000083334,-3.2757542410787575,-0.6441903358334143
700,2004,Ontario,May,32.10000002,64,0.17,N,2004-05-01,178.96666666666667,21420.913333643322,-6.503266951626093,-1.0283164854007423
701,2004,Ontario,June,57.30000074,79,0.28,N,2004-06-01,214.43333333333334,73529.24666674131,-7.15713788325225,-0.9985510372818235
702,2004,Ontario,July,93.00000019,101,0.47,N,2004-07-01,273.73333333333335,45599.263333547664,-6.195047345209658,-0.9970338796354093
703,2004,Ontario,August,31.8000003,98,0.64,E,2004-08-01,282.8,15268.00333374793,-6.174048332993702,-1.059772455351846
708,2004,Quebec,May,72.3,82,0.17,N,2004-05-01,172.46666666666667,34188.71666666667,-6.158826817422441,-0.7434847338195659
709,2004,Quebec,June,480.5,75,0.28,N,2004-06-01,176.83333333333334,159924.09999999998,-5.8076273782542005,-0.8577195558496178
710,2004,Quebec,July,2308.6,39,0.47,N,2004-07-01,126.86666666666666,64893.493333333354,-3.336106081679979,-1.179575020064293
711,2004,Quebec,August,116.0,26,0.64,E,2004-08-01,114.7,13285.800000000001,-4.740860883565807,-1.484223486113843
712,2004,Saskatchewan,May,315.82,80,0.17,N,2004-05-01,132.0,82480.8007005367,-5.565148395419684,-0.5007752879124893
713,2004,Saskatchewan,June,6550.35,26,0.28,N,2004-06-01,139.5,240441.73137799994,-3.602959295684374,-1.6799680632399383
714,2004,Saskatchewan,July,246199.01,164,0.47,N,2004-07-01,123.46666666666667,92916.68320466668,0.9744369805275817,0.28389521372028376
715,2004,Saskatchewan,August,4633.68,31,0.64,E,2004-08-01,92.06666666666666,61460.80761933333,-2.5850483283708594,-1.088525747821936
716,2004,Yukon,May,7.98,5,0.17,N,2004-05-01,17.133333333333333,14600.006000000001,-7.51183880719353,-1.2315879713589093
717,2004,Yukon,June,1485372.27,138,0.28,N,2004-06-01,46.266666666666666,110718.75306666669,2.596427476925231,1.0928319257526102
718,2004,Yukon,July,220116.27,100,0.47,N,2004-07-01,36.5,52139.65806666666,1.4402300562464831,1.0078579253996456
719,2004,Yukon,August,14129.36,33,0.64,E,2004-08-01,15.9,7316.592333333331,0.658110210621141,0.7301884522402944
720,2005,Alberta,May,11483.19,438,0.29,N,2005-05-01,293.3,109081.34033333331,-2.251209618663652,0.40102293439304065
721,2005,Alberta,June,46606.35,261,0.11,N,2005-06-01,246.3,43903.09533333333,0.05975197161517145,0.05797010219620111
722,2005,Alberta,July,1827.93,238,-0.06,N,2005-07-01,262.4,27698.73566666666,-2.718202589266811,-0.0975993833984592
723,2005,Alberta,August,27.53,85,-0.14,N,2005-08-01,179.2,14241.275333333331,-6.248623421726293,-0.7458512440505136
724,2005,British Columbia,May,26341.698,270,0.29,N,2005-05-01,173.93333333333334,10548.055033333332,0.9152116730336454,0.4397498749638564
725,2005,British Columbia,June,484.343,89,0.11,N,2005-06-01,213.46666666666667,16654.6782,-3.537653095506923,-0.8748443227223102
