Year,Location,Fire size class,Area_hectares,Number,Number_Percentage
2011,AB,10 000 - 100 000 ha,188875.9,6,0.01578324345653032
2011,AB,10.1 - 100 ha,1297.46,36,0.09469946073918191
2011,AB,100.1 - 1 000 ha,7229.4,19,0.049980270945679334
2011,AB,1000 - 10 000 ha,30452.5,8,0.02104432460870709
2011,AB,Over 100 000,577646.8,1,0.0026305405760883864
2011,AB,Up to 0.1 ha,19.85,773,2.033407865316322
2012,AB,0.11 - 1.0 ha,134.29,304,0.7996843351308693
2012,AB,1.1 - 10 ha,340.15,106,0.27883730106536897
2012,AB,10 000 - 100 000 ha,198942.3,7,0.018413784032618705
2012,AB,10.1 - 100 ha,1204.1,39,0.10259108246744705
2012,AB,100.1 - 1 000 ha,7357.75,18,0.047349730369590955
2012,AB,1000 - 10 000 ha,43209.9,16,0.04208864921741418
2012,AB,Over 100 000,134603.0,1,0.0026305405760883864
2012,AB,Up to 0.1 ha,26.93,1114,2.9304222017624624
2013,AB,0.11 - 1.0 ha,80.77,184,0.4840194660002631
2013,AB,1.1 - 10 ha,275.22,78,0.2051821649348941
2013,AB,10.1 - 100 ha,1278.77,34,0.08943837958700512
2013,AB,100.1 - 1 000 ha,3235.0,9,0.023674865184795477
2013,AB,1000 - 10 000 ha,14689.0,3,0.00789162172826516
2013,AB,Up to 0.1 ha,20.08,910,2.3937919242404315
2014,AB,0.11 - 1.0 ha,115.61,280,0.7365513613047482
2014,AB,1.1 - 10 ha,390.12,119,0.31303432855451796
2014,AB,10.1 - 100 ha,1047.81,40,0.10522162304353545
2014,AB,100.1 - 1 000 ha,2045.47,6,0.01578324345653032
2014,AB,1000 - 10 000 ha,20067.76,4,0.010522162304353546
2014,AB,Up to 0.1 ha,25.94,1002,2.6358016572405627
2015,AB,0.11 - 1.0 ha,177.97,412,1.083782717348415
2015,AB,1.1 - 10 ha,676.78,175,0.4603446008154676
2015,AB,10 000 - 100 000 ha,345494.95,16,0.04208864921741418
2015,AB,10.1 - 100 ha,2790.52,74,0.19466000263054056
2015,AB,100.1 - 1 000 ha,13916.9,38,0.09996054189135867
2015,AB,1000 - 10 000 ha,103224.27,24,0.06313297382612128
2015,AB,Up to 0.1 ha,35.91,1117,2.9383138234907276
2016,AB,0.11 - 1.0 ha,138.7,322,0.8470340655004605
2016,AB,1.1 - 10 ha,436.73,128,0.33670919373931346
2016,AB,10 000 - 100 000 ha,11604.0,1,0.0026305405760883864
2016,AB,10.1 - 100 ha,1702.92,41,0.10785216361962383
2016,AB,100.1 - 1 000 ha,3786.9,11,0.028935946336972246
2016,AB,1000 - 10 000 ha,4237.4,2,0.005261081152176773
2016,AB,Over 100 000,485123.6,1,0.0026305405760883864
2016,AB,Up to 0.1 ha,26.79,930,2.446402735762199
2017,AB,0.11 - 1.0 ha,96.88,248,0.6523740628699198
2017,AB,1.1 - 10 ha,274.19,76,0.19992108378271733
2017,AB,10 000 - 100 000 ha,30562.0,2,0.005261081152176773
2017,AB,10.1 - 100 ha,1719.13,42,0.11048270419571221
2017,AB,100.1 - 1 000 ha,6659.4,20,0.05261081152176773
2017,AB,1000 - 10 000 ha,9897.2,4,0.010522162304353546
2017,AB,Up to 0.1 ha,24.51,852,2.2412205708273047
2018,AB,0.11 - 1.0 ha,114.05,278,0.7312902801525714
2018,AB,1.1 - 10 ha,450.88,115,0.3025121662501644
2018,AB,10.1 - 100 ha,1704.49,54,0.14204919110877284
2018,AB,100.1 - 1 000 ha,3347.34,13,0.03419702748914902
2018,AB,1000 - 10 000 ha,54542.06,15,0.03945810864132579
2018,AB,Up to 0.1 ha,26.4,824,2.16756543469683
